group,variable,value
G0,domestic,187828.1
G0,international,106442.6
G0,day,266527.1
G0,night,131372.2
G0,long,36054.6
G0,medium,106449.7
G0,short,151766.4
G1,domestic,30058.3
G1,international,12235.0
G1,day,42212.5
G1,night,17011.5
G1,long,1264.0
G1,medium,10444.7
G1,short,30584.6
G2,domestic,63322.0
G2,international,62301.9
G2,day,123140.9
G2,night,62966.4
G2,long,9845.6
G2,medium,44423.4
G2,short,71354.9
G3,domestic,527.9
G3,international,99.9
G3,day,613.0
G3,night,168.0
G3,long,11.8
G3,medium,74.7
G3,short,541.3
